  Rent,Unit_price,Size,District,Room_number,Decoration,Resource,Income,title,longitude
5000,151.5152,33,Pudong,2,Hardcover,Lianjia,74627,潍坊三村,121.5260922
4600,88.4615,52,Pudong,2,Simplified,Lianjia,74627,罗山一村,121.5661939
5000,131.5789,38,Pudong,2,Simplified,Zhongyuan,74627,上南三村,121.5042283
5500,91.6667,60,Pudong,2,Simplified,Lianjia,74627,川杨新苑(三期),121.6405396
5500,144.7368,38,Pudong,2,Hardcover,Lianjia,74627,牡丹小区(浦东),121.2905019
5600,164.0785,34.13,Xuhui,1,Simplified,Zhongyuan,82624,茶陵小区,121.4745322
4900,121.3172,40.39,Xuhui,2,Hardcover,Zhongyuan,82624,东方时空公寓,121.4341265
5800,100.5199,57.7,Xuhui,3,Simplified,Zhongyuan,82624,紫竹园,121.5482211
5500,157.1429,35,Changning,2,Hardcover,Lianjia,84309,虹欣小区,121.4249106
5500,144.7368,38,Xuhui,2,Hardcover,Lianjia,82624,凯旋一村,121.4311022
5200,86.8984,59.84,Pudong,3,Hardcover,Lianjia,74627,香山新村东北街坊,121.5762993
5200,80,65,Pudong,2,Simplified,LHome,74627,金葵佳苑,121.6417902
6000,89.5522,67,Minhang,2,Hardcover,Zhongyuan,74736,新梅花苑(报春路388弄),121.3936624
5500,69.6203,79,Pudong,2,Hardcover,Lianjia,74627,仁和花苑,121.5707545
5200,162.5,32,Pudong,2,Hardcover,Lianjia,74627,胶南小区,121.5173105
4500,122.6158,36.7,Pudong,2,Simplified,LHome,74627,沪东新村,121.5887736
5000,135.1351,37,Pudong,2,Hardcover,Lianjia,74627,上南六村,121.5069552
5400,85.3215,63.29,Pudong,3,Hardcover,Lianjia,74627,香山新村东北街坊,121.5762993
5600,140,40,Putuo,3,Simplified,21Centry,81128,长风四村[金沙江路875弄],121.4042721
5800,145,40,Putuo,2,Simplified,21Centry,81128,长风四村,121.4042721
4900,143.695,34.1,Hongkou,2,Medium,Xinyi,82992,玉四小区,121.5528048
6000,156.2907,38.39,Pudong,2,Hardcover,Xinyi,74627,东园四村,121.5194329
5900,66.8479,88.26,Pudong,4,Hardcover,Zhongyuan,74627,中冶尚城,121.5912809
5300,83.4646,63.5,Pudong,3,Simplified,Zhongyuan,74627,晶波坊,121.5863731
5000,147.0588,34,Putuo,2,Simplified,21Centry,81128,长风二村,121.4084474
5700,142.5,40,Putuo,2,Simplified,21Centry,81128,长风四村[怒江路131弄],121.4042721
5500,148.6486,37,Pudong,2,Hardcover,Lianjia,74627,昌五小区,121.5239502
5300,160.1208,33.1,Hongkou,2,Hardcover,Zhongyuan,82992,广灵一村,121.4844606
5000,167.7852,29.8,Jingan,1,Hardcover,Xinyi,85354,中行小区,121.440956
5600,93.3333,60,Baoshan,3,Simplified,Lianjia,71456,乾溪新村,121.3384021
6000,61.8557,97,Baoshan,4,Simplified,Lianjia,71456,都市花苑,121.4839973
4600,92,50,Minhang,2,Hardcover,Zhongyuan,74736,罗阳一村,121.417717
5300,70.6667,75,Putuo,3,Simplified,Lianjia,81128,祁连新家园,121.391785
5600,169.697,33,Hongkou,2,Medium,Xinyi,82992,通海小区,121.5018811
5500,108.8032,50.55,Xuhui,3,Simplified,LHome,82624,梅陇三村,121.4236324
5200,173.3333,30,Jingan,2,Simplified,LHome,85354,晋元里,121.4444001
6000,149.9625,40.01,Pudong,2,Simplified,Zhongyuan,74627,临沂一村,121.5194044
5200,120.9302,43,Putuo,2,Hardcover,Zhongyuan,81128,泰浜小区,120.857829
4500,160.7143,28,Yangpu,2,Simplified,Lianjia,82600,兰花新村,121.3384021
6000,84.7338,70.81,Yangpu,3,Simplified,Lianjia,82600,鹏程苑,121.539555
5200,162.5,32,Changning,1,Hardcover,Zhongyuan,84309,天义小区,121.4139247
5200,100,52,Minhang,2,Hardcover,Zhongyuan,74736,古龙苑,121.4068657
6000,153.8462,39,Pudong,2,Simplified,LHome,74627,东园四村,121.5194329
4800,101.738,47.18,Pudong,1,Hardcover,Zhongyuan,74627,金桥酒店公寓,121.5945279
5800,96.9251,59.84,Pudong,2,Hardcover,Lianjia,74627,川杨新苑(二期),121.6406643
6000,137.237,43.72,Xuhui,2,Simplified,Zhongyuan,82624,上飞新村,121.3384021
5300,78.6467,67.39,Pudong,3,Simplified,Zhongyuan,74627,荷三小区(牟平路56弄),121.6031326
5500,134.606,40.86,Changning,2,Hardcover,Zhongyuan,84309,遵义西大楼,121.4156767
5600,169.697,33,Pudong,1,Hardcover,Zhongyuan,74627,潍坊八村(浦电路331弄),121.5349701
4000,56.338,71,Baoshan,2,Rough,Zhongyuan,71456,祁连欣苑,121.3839505
4800,117.0732,41,Xuhui,2,Simplified,Zhongyuan,82624,田林新苑,121.4333695
6000,87.8477,68.3,Jiading,3,Simplified,Lianjia,60713,丰庄四村,121.3762031
4200,113.5135,37,Pudong,2,Simplified,Lianjia,74627,中环滨江大厦,121.578165
5800,102.4192,56.63,Xuhui,3,Simplified,Zhongyuan,82624,长桥三村,121.448298
5000,75.7576,66,Pudong,3,Rough,Lianjia,74627,博三小区,121.5894091
5500,73.0509,75.29,Baoshan,5,Hardcover,Zhongyuan,71456,葑润华庭(祁华路58弄),121.384503
